Mfr Name,Division,Carline,Hybrid (Y/N),# Cyl,City FE (MPG),Hwy FE (MPG),Comb FE (MPG),Guzzler?,Transmission,# Gears,Drive Desc,Annual Fuel Cost,Type,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),Smog Rating (Mfr Smog 1-10 Rating on Label),$ You Spend over 5 years,Tailpipe_CO2
Honda,Acura,NSX,N,6,21,22,21,N,Manual,9,All Wheel Drive,2000,Car,4,4,3,3250,420
Honda,Acura,ILX,N,4,25,35,29,N,Manual,8,"2-Wheel Drive, Front",1450,Car,6,6,3,500,309
Honda,Acura,TLX AWD,N,6,21,30,24,N,Automatic,9,All Wheel Drive,1750,Car,5,5,3,2000,369
Honda,Acura,TLX AWD A-SPEC,N,6,20,29,23,N,Automatic,9,All Wheel Drive,1850,Car,5,5,3,2500,387
Honda,Acura,TLX FWD,N,4,23,33,27,N,Manual,8,"2-Wheel Drive, Front",1550,Car,6,6,3,1000,330
Honda,Acura,TLX FWD,N,6,20,32,24,N,Automatic,9,"2-Wheel Drive, Front",1750,Car,5,5,3,2000,368
Honda,Acura,TLX FWD A-SPEC,N,6,20,30,23,N,Automatic,9,"2-Wheel Drive, Front",1850,Car,5,5,3,2500,382
Honda,Acura,RLX,N,6,28,29,28,N,Manual,7,All Wheel Drive,1500,Car,6,6,7,750,316
Honda,Acura,RLX,N,6,20,29,23,N,Automatic,10,"2-Wheel Drive, Front",1850,Car,5,5,3,2500,383
Honda,Acura,MDX FWD,N,6,19,27,22,NA,Automatic,9,"2-Wheel Drive, Front",1900,SUV,4,4,3,2750,404
Honda,Acura,MDX FWD,N,6,20,27,23,NA,Automatic,9,"2-Wheel Drive, Front",1850,SUV,5,5,3,2500,390
Honda,Acura,RDX FWD,N,6,20,28,23,NA,Automatic,6,"2-Wheel Drive, Front",1850,SUV,5,5,3,2500,386
Honda,Acura,MDX AWD,N,6,26,27,27,NA,Manual,7,All Wheel Drive,1550,SUV,6,6,3,1000,330
Honda,Acura,MDX AWD,N,6,19,26,22,NA,Automatic,9,All Wheel Drive,1900,SUV,4,4,3,2750,404
Honda,Acura,MDX AWD,N,6,18,26,21,NA,Automatic,9,All Wheel Drive,2000,SUV,4,4,3,3250,424
Honda,Acura,RDX AWD,N,6,19,27,22,NA,Automatic,6,All Wheel Drive,1900,SUV,4,4,3,2750,402
FCA US LLC,ALFA ROMEO,4C,N,4,24,34,28,N,Manual,6,"2-Wheel Drive, Rear",1500,Car,6,6,1,750,317
FCA US LLC,ALFA ROMEO,Giulia,N,4,24,33,27,N,Automatic,8,"2-Wheel Drive, Rear",1550,Car,6,6,3,1000,330
FCA US LLC,ALFA ROMEO,Giulia,N,6,17,24,20,N,Automatic,8,"2-Wheel Drive, Rear",2100,Car,4,4,3,3750,451
FCA US LLC,ALFA ROMEO,Giulia AWD,N,4,23,31,26,N,Automatic,8,All Wheel Drive,1600,Car,5,5,3,1250,348
FCA US LLC,ALFA ROMEO,Stelvio AWD,N,4,22,28,24,NA,Automatic,8,All Wheel Drive,1750,SUV,5,5,3,2000,364
FCA US LLC,ALFA ROMEO,Stelvio AWD,N,6,17,23,19,NA,Automatic,8,All Wheel Drive,2200,SUV,3,3,3,4250,470
