Song,ARTIST,Release Year,COMBINED,PlayCount
Levon,Elton John,1971,Levon by Elton John,8
Rock Around the Clock,Bill Haley,1955,Rock Around the Clock by Bill Haley,1
JOHNNY B. GOODE,Chuck Berry,1958,JOHNNY B. GOODE by Chuck Berry,2
Cry For A Shadow,The Beatles,1961,Cry For A Shadow by The Beatles,1
Green Onions,Booker T. and the MG's,1962,Green Onions by Booker T. and the MG's,4
Love Me Do,The Beatles,1962,Love Me Do by The Beatles,1
P.s. I Love You,The Beatles,1962,P.s. I Love You by The Beatles,1
All My Loving,The Beatles,1963,All My Loving by The Beatles,4
From Me To You,The Beatles,1963,From Me To You by The Beatles,1
I Saw Her Standing There,The Beatles,1963,I Saw Her Standing There by The Beatles,3
I Want To Hold Your Hand,The Beatles,1963,I Want To Hold Your Hand by The Beatles,2
IT WON'T BE LONG,The Beatles,1963,IT WON'T BE LONG by The Beatles,1
LITTLE CHILD,The Beatles,1963,LITTLE CHILD by The Beatles,1
Please Please Me,The Beatles,1963,Please Please Me by The Beatles,2
She Loves You,The Beatles,1963,She Loves You by The Beatles,3
Twist and Shout,The Beatles,1963,Twist and Shout by The Beatles,5
Do Wah Diddy Diddy,Manfred Mann,1964,Do Wah Diddy Diddy by Manfred Mann,2
IT'S ALL OVER NOW,Rolling Stones,1964,IT'S ALL OVER NOW by Rolling Stones,1
House Of The Rising Sun,The Animals,1964,House Of The Rising Sun by The Animals,18
A Hard Day's Night,The Beatles,1964,A Hard Day's Night by The Beatles,5
ANYTIME AT ALL,The Beatles,1964,ANYTIME AT ALL by The Beatles,1
Can't Buy Me Love,The Beatles,1964,Can't Buy Me Love by The Beatles,5
Eight Days A Week,The Beatles,1964,Eight Days A Week by The Beatles,6
I Feel Fine,The Beatles,1964,I Feel Fine by The Beatles,5
I'll Follow The Sun,The Beatles,1964,I'll Follow The Sun by The Beatles,1
I'm A Loser,The Beatles,1964,I'm A Loser by The Beatles,2
SHE'S A WOMAN,The Beatles,1964,SHE'S A WOMAN by The Beatles,1
Things We Said Today,The Beatles,1964,Things We Said Today by The Beatles,2
All Day And All Of The Night,The Kinks,1964,All Day And All Of The Night by The Kinks,7
You Really Got Me,The Kinks,1964,You Really Got Me by The Kinks,20
Don't Let Me Be Misunderstood,Animals II,1965,Don't Let Me Be Misunderstood by Animals II,1
Like a Rolling Stone,Bob Dylan,1965,Like a Rolling Stone by Bob Dylan,3
Positively 4th Street,Bob Dylan,1965,Positively 4th Street by Bob Dylan,3
Subterranean Homesick Blues,Bob Dylan,1965,Subterranean Homesick Blues by Bob Dylan,1
(I Can't Get No) Satisfaction,Rolling Stones,1965,(I Can't Get No) Satisfaction by Rolling Stones,60
Get Off My Cloud,Rolling Stones,1965,Get Off My Cloud by Rolling Stones,1
Get Off Of My Cloud,Rolling Stones,1965,Get Off Of My Cloud by Rolling Stones,17
THE LAST TIME,Rolling Stones,1965,THE LAST TIME by Rolling Stones,2
THE SPIDER AND THE FLY,Rolling Stones,1965,THE SPIDER AND THE FLY by Rolling Stones,1
BAD BOY,The Beatles,1965,BAD BOY by The Beatles,1
Day Tripper,The Beatles,1965,Day Tripper by The Beatles,2
Drive My Car,The Beatles,1965,Drive My Car by The Beatles,4
GIRL,The Beatles,1965,GIRL by The Beatles,1
Help!,The Beatles,1965,Help! by The Beatles,4
I'm Down,The Beatles,1965,I'm Down by The Beatles,1
IN MY LIFE,The Beatles,1965,IN MY LIFE by The Beatles,5
I've Just Seen A Face,The Beatles,1965,I've Just Seen A Face by The Beatles,3
Norwegian Wood,The Beatles,1965,Norwegian Wood by The Beatles,1
NOWHERE MAN,The Beatles,1965,NOWHERE MAN by The Beatles,1
The Word,The Beatles,1965,The Word by The Beatles,1
Ticket to Ride,The Beatles,1965,Ticket to Ride by The Beatles,4
We Can Work It Out,The Beatles,1965,We Can Work It Out by The Beatles,18
Yesterday,The Beatles,1965,Yesterday by The Beatles,10
You're Going To Lose That Girl,The Beatles,1965,You're Going To Lose That Girl by The Beatles,1
Tired of Waiting,The Kinks,1965,Tired of Waiting by The Kinks,1
I CAN'T EXPLAIN,The Who,1965,I CAN'T EXPLAIN by The Who,1
My Generation,The Who,1965,My Generation by The Who,50
The Kids Are Alright,The Who,1965,The Kids Are Alright by The Who,2
Don't Bring Me Down,Animals II,1966,Don't Bring Me Down by Animals II,1
Just Like A Woman,Bob Dylan,1966,Just Like A Woman by Bob Dylan,1
For What It's Worth,Buffalo Springfield,1966,For What It's Worth by Buffalo Springfield,40
I'm So Glad,Cream,1966,I'm So Glad by Cream,1
Season of the Witch,Donovan,1966,Season of the Witch by Donovan,1
Sunshine Superman,Donovan,1966,Sunshine Superman by Donovan,1
Hey Joe,Jimi Hendrix,1966,Hey Joe by Jimi Hendrix,51
