congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
80,house,M000112,Joseph,Jefferson,Mansfield,,1861-02-09,TX,D,Yes,1/3/1947,85.9
80,house,D000448,Robert,Lee,Doughton,,1863-11-07,NC,D,Yes,1/3/1947,83.2
80,house,S000001,Adolph,Joachim,Sabath,,1866-04-04,IL,D,Yes,1/3/1947,80.7
80,house,E000023,Charles,Aubrey,Eaton,,1868-03-29,NJ,R,Yes,1/3/1947,78.8
80,house,L000296,William,,Lewis,,1868-09-22,KY,R,No,1/3/1947,78.3
80,house,G000017,James,A.,Gallagher,,1869-01-16,PA,R,No,1/3/1947,78
80,house,W000265,Richard,Joseph,Welch,,1869-02-13,CA,R,Yes,1/3/1947,77.9
80,house,B000565,Sol,,Bloom,,1870-03-09,NY,D,Yes,1/3/1947,76.8
80,house,H000943,Merlin,,Hull,,1870-12-18,WI,R,Yes,1/3/1947,76
80,house,G000169,Charles,Laceille,Gifford,,1871-03-15,MA,R,Yes,1/3/1947,75.8
80,house,B000545,Schuyler,Otis,Bland,,1872-05-04,VA,D,Yes,1/3/1947,74.7
80,house,R000358,John,Marshall,Robsion,,1873-01-02,KY,R,Yes,1/3/1947,74
80,house,L000501,Louis,Leon,Ludlow,,1873-06-24,IN,D,Yes,1/3/1947,73.5
80,house,K000138,John,Hosea,Kerr,,1873-12-31,NC,D,Yes,1/3/1947,73
80,house,C000932,Robert,,Crosser,,1874-06-07,OH,D,Yes,1/3/1947,72.6
80,house,L000163,Clarence,Frederick,Lea,,1874-07-11,CA,D,Yes,1/3/1947,72.5
80,house,K000039,John,,Kee,,1874-08-22,WV,D,Yes,1/3/1947,72.4
80,house,S000717,Brent,,Spence,,1874-12-24,KY,D,Yes,1/3/1947,72
80,house,A000257,Homer,Daniel,Angell,,1875-01-12,OR,R,Yes,1/3/1947,72
80,house,N000153,Mary,Teresa,Norton,,1875-03-07,NJ,D,Yes,1/3/1947,71.8
80,house,P000395,Charles,Albert,Plumley,,1875-04-14,VT,R,Yes,1/3/1947,71.7
80,house,D000496,Patrick,Henry,Drewry,,1875-05-24,VA,D,Yes,1/3/1947,71.6
80,house,H000683,Clare,Eugene,Hoffman,,1875-09-10,MI,R,Yes,1/3/1947,71.3
80,house,R000113,Daniel,Alden,Reed,,1875-09-15,NY,R,Yes,1/3/1947,71.3
80,house,B001214,William,Thomas,Byrne,,1876-03-06,NY,D,Yes,1/3/1947,70.8
80,house,W000718,Roy,Orchard,Woodruff,,1876-03-14,MI,R,Yes,1/3/1947,70.8
80,house,B000515,William,Wallace,Blackney,,1876-08-28,MI,R,Yes,1/3/1947,70.3
80,house,M000693,Earl,Cory,Michener,,1876-11-30,MI,R,Yes,1/3/1947,70.1
80,house,C000590,Howard,Aldridge,Coffin,,1877-06-11,MI,R,No,1/3/1947,69.6
80,house,M000374,Edward,Oscar,McCowen,,1877-06-29,OH,R,Yes,1/3/1947,69.5
80,house,W000012,James,Wolcott,Wadsworth,Jr.,1877-08-12,NY,R,Yes,1/3/1947,69.4
80,house,O000016,Thomas,Joseph,O'Brien,,1878-04-30,IL,D,Yes,1/3/1947,68.7
80,house,W000430,William,Madison,Whittington,,1878-05-04,MS,D,Yes,1/3/1947,68.7
80,house,L000238,William,,Lemke,,1878-08-13,ND,R,Yes,1/3/1947,68.4
80,house,D000212,John,Joseph,Delaney,,1878-08-21,NY,D,Yes,1/3/1947,68.4
80,house,J000117,Anton,Joseph,Johnson,,1878-10-20,IL,R,Yes,1/3/1947,68.2
80,house,C000117,Clarence,Andrew,Cannon,,1879-04-11,MO,D,Yes,1/3/1947,67.7
80,house,T000189,Robert,Ewing,Thomason,,1879-05-30,TX,D,Yes,1/3/1947,67.6
80,house,A000296,Samuel,Washington,Arnold,,1879-09-21,MO,R,Yes,1/3/1947,67.3
80,house,B000940,Paul,,Brown,,1880-03-31,GA,D,Yes,1/3/1947,66.8
80,house,C000831,Edward,Eugene,Cox,,1880-04-03,GA,D,Yes,1/3/1947,66.7
80,house,T000001,John,,Taber,,1880-05-05,NY,R,Yes,1/3/1947,66.7
80,house,J000096,John,,Jennings,Jr.,1880-06-06,TN,R,Yes,1/3/1947,66.6
80,house,G000206,Wilson,Darwin,Gillette,,1880-07-01,PA,R,Yes,1/3/1947,66.5
80,house,G000360,Louis,Edward,Graham,,1880-08-04,PA,R,Yes,1/3/1947,66.4
80,house,G000207,George,W.,Gillie,,1880-08-15,IN,R,Yes,1/3/1947,66.4
