State,Week,Cases,Population
Alabama,1,29,5024279
Alabama,2,167,5024279
Alabama,3,751,5024279
Alabama,4,1058,5024279
Alabama,5,1800,5024279
Alabama,6,1273,5024279
Alabama,7,1461,5024279
Alabama,8,1573,5024279
Alabama,9,2052,5024279
Alabama,10,1922,5024279
Alabama,11,2900,5024279
Alabama,12,3548,5024279
Alabama,13,2391,5024279
Alabama,14,5347,5024279
Alabama,15,4182,5024279
Alabama,16,6721,5024279
Alabama,17,7703,5024279
Alabama,18,10667,5024279
Alabama,19,13346,5024279
Alabama,20,12224,5024279
Alabama,21,11546,5024279
Alabama,22,10359,5024279
Alabama,23,5984,5024279
Alabama,24,7706,5024279
Alabama,25,9348,5024279
Alabama,26,6915,5024279
Alabama,27,6486,5024279
Alabama,28,6321,5024279
Alabama,29,7203,5024279
Alabama,30,6730,5024279
Alabama,31,6363,5024279
Alabama,32,7409,5024279
Alabama,33,11837,5024279
Alabama,34,9570,5024279
Alabama,35,9965,5024279
Alabama,36,14375,5024279
Alabama,37,14848,5024279
Alabama,38,15444,5024279
Alabama,39,22705,5024279
Alabama,40,25666,5024279
Alabama,41,26937,5024279
Alabama,42,23065,5024279
Alabama,43,26198,5024279
Alabama,44,29905,5024279
Alabama,45,20028,5024279
Alabama,46,18981,5024279
Alabama,47,17851,5024279
Alabama,48,12488,5024279
Alabama,49,8257,5024279
Alabama,50,5915,5024279
Alabama,51,6249,5024279
Alabama,52,6323,5024279
Alabama,53,8137,5024279
Alabama,54,3550,5024279
Alabama,55,2840,5024279
Alabama,56,2299,5024279
Alabama,57,2153,5024279
Alabama,58,3441,5024279
Alabama,59,3836,5024279
Alabama,60,2436,5024279
Alabama,61,2310,5024279
Alabama,62,9173,5024279
Alabama,63,1989,5024279
Alabama,64,1149,5024279
Alabama,65,2919,5024279
Alabama,66,1549,5024279
Alabama,67,1140,5024279
Alabama,68,1438,5024279
Alabama,69,847,5024279
Alabama,70,3917,5024279
Alabama,71,5705,5024279
Alabama,72,11150,5024279
Alabama,73,17040,5024279
Alabama,74,22976,5024279
Alabama,75,25277,5024279
Alabama,76,28290,5024279
Alabama,77,28870,5024279
Alabama,78,30165,5024279
Alabama,79,25610,5024279
Alabama,80,22013,5024279
Alabama,81,18337,5024279
Alabama,82,10780,5024279
Alabama,83,7171,5024279
Alabama,84,5764,5024279
Alabama,85,5949,5024279
Alabama,86,11952,5024279
Alabama,87,3991,5024279
Alabama,88,3698,5024279
Alabama,89,3208,5024279
Alabama,90,2123,5024279
Alabama,91,3495,5024279
Alabama,92,3795,5024279
Alabama,93,5822,5024279
Alabama,94,12231,5024279
Alabama,95,42976,5024279
Alabama,96,71279,5024279
Alabama,97,79654,5024279
Alabama,98,88613,5024279
Alabama,99,65108,5024279
Alabama,100,27619,5024279
Alabama,101,17920,5024279
Alabama,102,9688,5024279
Alabama,103,6081,5024279
Alabama,104,7090,5024279
Alabama,105,2855,5024279
Alabama,106,2051,5024279
Alabama,107,2971,5024279
Alabama,108,1369,5024279
Alabama,109,1190,5024279
Alabama,110,778,5024279
Alabama,111,1947,5024279
Alabama,112,1355,5024279
Alabama,113,1774,5024279
Alabama,114,2720,5024279
Alabama,115,3520,5024279
Alabama,116,3252,5024279
Alabama,117,8271,5024279
Alabama,118,7613,5024279
Alabama,119,9856,5024279
Alabama,120,12558,5024279
Alabama,121,11653,5024279
Alabama,122,15871,5024279
Alabama,123,18026,5024279
Alabama,124,17141,5024279
Alabama,125,10985,5024279
Alabama,126,12047,5024279
Alabama,127,13354,5024279
Alabama,128,14121,5024279
Alabama,129,9442,5024279
Alabama,130,16690,5024279
Alabama,131,12013,5024279
Alabama,132,6487,5024279
Alabama,133,5297,5024279
Alabama,134,3798,5024279
Alabama,135,2491,5024279
Alabama,136,3558,5024279
Alabama,137,1366,5024279
Alabama,138,2982,5024279
Alabama,139,0,5024279
Alabama,140,6042,5024279
Alabama,141,1898,5024279
Alabama,142,2872,5024279
Alabama,143,4186,5024279
Alabama,144,5807,5024279
Alabama,145,6465,5024279
Alabama,146,7377,5024279
Alabama,147,4703,5024279
Alabama,148,13587,5024279
Alabama,149,8925,5024279
Alabama,150,6742,5024279
Alabama,151,7644,5024279
Alabama,152,7315,5024279
Alabama,153,9820,5024279
Alabama,154,6073,5024279
Alabama,155,4605,5024279
Alabama,156,3714,5024279
Alabama,157,2471,5024279
Alabama,158,1890,5024279
Alabama,159,1962,5024279
Alaska,1,3,733391
Alaska,2,33,733391
Alaska,3,84,733391
Alaska,4,69,733391
Alaska,5,86,733391
Alaska,6,44,733391
Alaska,7,24,733391
Alaska,8,25,733391
Alaska,9,12,733391
Alaska,10,19,733391
Alaska,11,13,733391
Alaska,12,64,733391
Alaska,13,131,733391
Alaska,14,131,733391
Alaska,15,131,733391
Alaska,16,216,733391
Alaska,17,316,733391
Alaska,18,442,733391
Alaska,19,569,733391
Alaska,20,792,733391
Alaska,21,858,733391
Alaska,22,475,733391
Alaska,23,571,733391
Alaska,24,518,733391
Alaska,25,449,733391
Alaska,26,562,733391
Alaska,27,576,733391
Alaska,28,562,733391
Alaska,29,702,733391
Alaska,30,1034,733391
Alaska,31,1294,733391
Alaska,32,1333,733391
Alaska,33,2178,733391
Alaska,34,2632,733391
Alaska,35,3237,733391
Alaska,36,4083,733391
Alaska,37,3860,733391
Alaska,38,4279,733391
Alaska,39,4943,733391
Alaska,40,4013,733391
Alaska,41,2438,733391
Alaska,42,1873,733391
Alaska,43,2436,733391
Alaska,44,2001,733391
Alaska,45,1674,733391
Alaska,46,1276,733391
Alaska,47,1030,733391
Alaska,48,1283,733391
Alaska,49,634,733391
Alaska,50,1308,733391
Alaska,51,913,733391
Alaska,52,981,733391
Alaska,53,964,733391
Alaska,54,860,733391
Alaska,55,710,733391
Alaska,56,1742,733391
Alaska,57,1169,733391
Alaska,58,1180,733391
Alaska,59,1132,733391
Alaska,60,905,733391
Alaska,61,687,733391
Alaska,62,473,733391
Alaska,63,392,733391
Alaska,64,203,733391
Alaska,65,310,733391
Alaska,66,195,733391
Alaska,67,240,733391
Alaska,68,209,733391
Alaska,69,193,733391
Alaska,70,517,733391
Alaska,71,990,733391
Alaska,72,1476,733391
Alaska,73,1842,733391
Alaska,74,2187,733391
Alaska,75,2421,733391
Alaska,76,3374,733391
Alaska,77,3622,733391
Alaska,78,2724,733391
Alaska,79,5951,733391
Alaska,80,5820,733391
Alaska,81,9189,733391
Alaska,82,6212,733391
Alaska,83,6167,733391
Alaska,84,3627,733391
Alaska,85,7166,733391
Alaska,86,4444,733391
Alaska,87,4018,733391
Alaska,88,2771,733391
Alaska,89,2568,733391
Alaska,90,1976,733391
Alaska,91,1703,733391
Alaska,92,1287,733391
Alaska,93,1221,733391
Alaska,94,1098,733391
Alaska,95,3874,733391
Alaska,96,8490,733391
Alaska,97,9965,733391
Alaska,98,22291,733391
Alaska,99,15878,733391
Alaska,100,10973,733391
Alaska,101,5124,733391
Alaska,102,2801,733391
Alaska,103,3436,733391
Alaska,104,1728,733391
Alaska,105,2653,733391
Alaska,106,1314,733391
Alaska,107,1128,733391
Alaska,108,1344,733391
Alaska,109,934,733391
Alaska,110,1297,733391
Alaska,111,1526,733391
Alaska,112,1487,733391
Alaska,113,1459,733391
Alaska,114,1620,733391
Alaska,115,1948,733391
Alaska,116,2452,733391
Alaska,117,2250,733391
Alaska,118,2869,733391
Alaska,119,2445,733391
Alaska,120,3014,733391
Alaska,121,3686,733391
Alaska,122,3320,733391
Alaska,123,3485,733391
Alaska,124,3892,733391
Alaska,125,2965,733391
Alaska,126,3722,733391
Alaska,127,2559,733391
Alaska,128,2132,733391
Alaska,129,2192,733391
Alaska,130,1422,733391
Alaska,131,1097,733391
Alaska,132,1207,733391
Alaska,133,756,733391
Alaska,134,614,733391
Alaska,135,685,733391
Alaska,136,564,733391
Alaska,137,355,733391
Alaska,138,384,733391
Alaska,139,366,733391
Alaska,140,124,733391
Alaska,141,442,733391
Alaska,142,430,733391
Alaska,143,397,733391
Alaska,144,494,733391
Alaska,145,339,733391
Alaska,146,378,733391
Alaska,147,325,733391
Alaska,148,364,733391
Alaska,149,466,733391
Alaska,150,649,733391
Alaska,151,644,733391
Alaska,152,784,733391
Alaska,153,689,733391
Alaska,154,781,733391
Alaska,155,777,733391
Alaska,156,449,733391
Alaska,157,581,733391
Alaska,158,441,733391
Alaska,159,494,733391
American Samoa,129,0,733391
American Samoa,130,697,733391
American Samoa,131,49,733391
American Samoa,132,0,733391
American Samoa,133,27,733391
American Samoa,134,0,733391
American Samoa,135,0,733391
American Samoa,136,7,733391
American Samoa,137,0,733391
American Samoa,138,6,733391
American Samoa,139,0,733391
American Samoa,140,0,733391
American Samoa,141,5,733391
American Samoa,142,0,733391
American Samoa,143,1,733391
American Samoa,144,1,733391
American Samoa,145,1,733391
American Samoa,146,1,733391
American Samoa,147,0,733391
American Samoa,148,0,733391
American Samoa,149,43,733391
American Samoa,150,0,733391
American Samoa,151,8,733391
American Samoa,152,3,733391
American Samoa,153,0,733391
American Samoa,154,0,733391
American Samoa,155,0,733391
American Samoa,156,0,733391
American Samoa,157,0,733391
American Samoa,158,0,733391
American Samoa,159,1,733391
Arizona,1,18,7151502
Arizona,2,216,7151502
Arizona,3,935,7151502
Arizona,4,1297,7151502
Arizona,5,1236,7151502
Arizona,6,1362,7151502
Arizona,7,1652,7151502
Arizona,8,2203,7151502
Arizona,9,2461,7151502
Arizona,10,2790,7151502
Arizona,11,2391,7151502
Arizona,12,3562,7151502
Arizona,13,7638,7151502
Arizona,14,9244,7151502
Arizona,15,17762,7151502
Arizona,16,19835,7151502
Arizona,17,26940,7151502
Arizona,18,22375,7151502
Arizona,19,21403,7151502
Arizona,20,18598,7151502
Arizona,21,15588,7151502
Arizona,22,8128,7151502
Arizona,23,6393,7151502
Arizona,24,4394,7151502
Arizona,25,3445,7151502
Arizona,26,4105,7151502
Arizona,27,2755,7151502
Arizona,28,5525,7151502
Arizona,29,3262,7151502
Arizona,30,3578,7151502
Arizona,31,4981,7151502
Arizona,32,5861,7151502
Arizona,33,7260,7151502
Arizona,34,9100,7151502
Arizona,35,12353,7151502
Arizona,36,16533,7151502
Arizona,37,26009,7151502
Arizona,38,23858,7151502
Arizona,39,39318,7151502
Arizona,40,54095,7151502
Arizona,41,40886,7151502
Arizona,42,43271,7151502
Arizona,43,56926,7151502
Arizona,44,66229,7151502
Arizona,45,51511,7151502
Arizona,46,48949,7151502
Arizona,47,34227,7151502
Arizona,48,20771,7151502
Arizona,49,15616,7151502
Arizona,50,11054,7151502
Arizona,51,8369,7151502
Arizona,52,8969,7151502
Arizona,53,6154,7151502
Arizona,54,3346,7151502
Arizona,55,3764,7151502
Arizona,56,4420,7151502
Arizona,57,5325,7151502
Arizona,58,4207,7151502
Arizona,59,5034,7151502
Arizona,60,5092,7151502
Arizona,61,4893,7151502
Arizona,62,3974,7151502
Arizona,63,3736,7151502
Arizona,64,4268,7151502
Arizona,65,2745,7151502
Arizona,66,2951,7151502
Arizona,67,2965,7151502
Arizona,68,3449,7151502
Arizona,69,3450,7151502
Arizona,70,4551,7151502
Arizona,71,7721,7151502
Arizona,72,9327,7151502
Arizona,73,12778,7151502
Arizona,74,16858,7151502
Arizona,75,19617,7151502
Arizona,76,20852,7151502
Arizona,77,22387,7151502
Arizona,78,21707,7151502
Arizona,79,18070,7151502
Arizona,80,17945,7151502
Arizona,81,17505,7151502
Arizona,82,18207,7151502
Arizona,83,15826,7151502
Arizona,84,11615,7151502
Arizona,85,18006,7151502
Arizona,86,21008,7151502
Arizona,87,21375,7151502
Arizona,88,24828,7151502
Arizona,89,27934,7151502
Arizona,90,21682,7151502
Arizona,91,28267,7151502
Arizona,92,23504,7151502
Arizona,93,20402,7151502
Arizona,94,23711,7151502
Arizona,95,41908,7151502
Arizona,96,86819,7151502
Arizona,97,130438,7151502
Arizona,98,145444,7151502
Arizona,99,103342,7151502
Arizona,100,51806,7151502
Arizona,101,30718,7151502
Arizona,102,14536,7151502
Arizona,103,9186,7151502
Arizona,104,3879,7151502
Arizona,105,6549,7151502
Arizona,106,5153,7151502
Arizona,107,4566,7151502
Arizona,108,10143,7151502
Arizona,109,6840,7151502
Arizona,110,2777,7151502
Arizona,111,2377,7151502
Arizona,112,2350,7151502
Arizona,113,3911,7151502
Arizona,114,5490,7151502
Arizona,115,7204,7151502
Arizona,116,11498,7151502
Arizona,117,13042,7151502
Arizona,118,14677,7151502
Arizona,119,16334,7151502
Arizona,120,15373,7151502
Arizona,121,16514,7151502
Arizona,122,20198,7151502
Arizona,123,15280,7151502
Arizona,124,18135,7151502
Arizona,125,17249,7151502
Arizona,126,15034,7151502
Arizona,127,13501,7151502
Arizona,128,12244,7151502
Arizona,129,8505,7151502
Arizona,130,8661,7151502
Arizona,131,3666,7151502
Arizona,132,6119,7151502
Arizona,133,3999,7151502
Arizona,134,3402,7151502
Arizona,135,3675,7151502
Arizona,136,2400,7151502
Arizona,137,5438,7151502
Arizona,138,4813,7151502
Arizona,139,5129,7151502
Arizona,140,7360,7151502
Arizona,141,10775,7151502
Arizona,142,13410,7151502
Arizona,143,12987,7151502
Arizona,144,15983,7151502
Arizona,145,11550,7151502
Arizona,146,8281,7151502
Arizona,147,4973,7151502
Arizona,148,6187,7151502
Arizona,149,7374,7151502
Arizona,150,2751,7151502
Arizona,151,3554,7151502
Arizona,152,3087,7151502
Arizona,153,3099,7151502
Arizona,154,3379,7151502
Arizona,155,26866,7151502
Arizona,156,5663,7151502
Arizona,157,3850,7151502
Arizona,158,4262,7151502
Arizona,159,2656,7151502
Arkansas,1,22,3011524
Arkansas,2,179,3011524
Arkansas,3,307,3011524
Arkansas,4,419,3011524
Arkansas,5,548,3011524
Arkansas,6,496,3011524
Arkansas,7,1098,3011524
Arkansas,8,400,3011524
Arkansas,9,574,3011524
Arkansas,10,770,3011524
Arkansas,11,1216,3011524
Arkansas,12,1414,3011524
Arkansas,13,2297,3011524
Arkansas,14,3177,3011524
Arkansas,15,3166,3011524
Arkansas,16,4174,3011524
Arkansas,17,3996,3011524
Arkansas,18,4686,3011524
Arkansas,19,4988,3011524
Arkansas,20,5520,3011524
Arkansas,21,5150,3011524
Arkansas,22,5431,3011524
Arkansas,23,3049,3011524
Arkansas,24,3817,3011524
Arkansas,25,4330,3011524
Arkansas,26,5056,3011524
Arkansas,27,4347,3011524
Arkansas,28,5737,3011524
Arkansas,29,5685,3011524
Arkansas,30,5381,3011524
Arkansas,31,6057,3011524
Arkansas,32,6110,3011524
Arkansas,33,7130,3011524
Arkansas,34,6914,3011524
Arkansas,35,9170,3011524
Arkansas,36,11537,3011524
Arkansas,37,11842,3011524
Arkansas,38,11169,3011524
Arkansas,39,14683,3011524
Arkansas,40,15015,3011524
Arkansas,41,16050,3011524
Arkansas,42,13421,3011524
Arkansas,43,18253,3011524
Arkansas,44,21563,3011524
Arkansas,45,15919,3011524
Arkansas,46,12439,3011524
Arkansas,47,11792,3011524
Arkansas,48,10879,3011524
Arkansas,49,5975,3011524
Arkansas,50,2411,3011524
Arkansas,51,6750,3011524
Arkansas,52,2442,3011524
Arkansas,53,2109,3011524
Arkansas,54,1647,3011524
Arkansas,55,1301,3011524
Arkansas,56,1090,3011524
Arkansas,57,1124,3011524
Arkansas,58,1289,3011524
Arkansas,59,1258,3011524
Arkansas,60,1397,3011524
Arkansas,61,1420,3011524
Arkansas,62,1263,3011524
Arkansas,63,1337,3011524
Arkansas,64,1195,3011524
Arkansas,65,1114,3011524
Arkansas,66,1572,3011524
Arkansas,67,1628,3011524
Arkansas,68,2525,3011524
Arkansas,69,3605,3011524
Arkansas,70,5648,3011524
Arkansas,71,7659,3011524
Arkansas,72,10839,3011524
Arkansas,73,13309,3011524
Arkansas,74,15992,3011524
Arkansas,75,15391,3011524
Arkansas,76,15579,3011524
Arkansas,77,14023,3011524
Arkansas,78,14467,3011524
Arkansas,79,10915,3011524
Arkansas,80,9805,3011524
Arkansas,81,7668,3011524
Arkansas,82,5137,3011524
Arkansas,83,4832,3011524
Arkansas,84,4009,3011524
Arkansas,85,3308,3011524
Arkansas,86,2946,3011524
Arkansas,87,3034,3011524
Arkansas,88,3525,3011524
Arkansas,89,4529,3011524
Arkansas,90,3354,3011524
Arkansas,91,5864,3011524
Arkansas,92,5043,3011524
Arkansas,93,5381,3011524
Arkansas,94,7312,3011524
Arkansas,95,23178,3011524
Arkansas,96,47497,3011524
Arkansas,97,62707,3011524
Arkansas,98,57105,3011524
Arkansas,99,34878,3011524
Arkansas,100,18312,3011524
Arkansas,101,12640,3011524
Arkansas,102,7588,3011524
Arkansas,103,4685,3011524
Arkansas,104,3548,3011524
Arkansas,105,3381,3011524
Arkansas,106,4178,3011524
Arkansas,107,1483,3011524
Arkansas,108,589,3011524
Arkansas,109,555,3011524
Arkansas,110,538,3011524
Arkansas,111,779,3011524
Arkansas,112,948,3011524
Arkansas,113,1233,3011524
Arkansas,114,1468,3011524
Arkansas,115,1994,3011524
