Age,Attracted to,Gender
20,23,Female
21,23,Female
22,24,Female
23,25,Female
24,25,Female
25,26,Female
26,27,Female
27,28,Female
28,29,Female
29,29,Female
30,30,Female
31,31,Female
32,31,Female
33,32,Female
34,32,Female
35,34,Female
36,35,Female
37,36,Female
38,37,Female
39,38,Female
40,38,Female
41,38,Female
42,39,Female
43,39,Female
44,39,Female
45,40,Female
46,38,Female
47,39,Female
48,40,Female
49,45,Female
50,46,Female
20,20,Male
21,20,Male
22,21,Male
23,21,Male
24,21,Male
25,21,Male
26,22,Male
27,21,Male
28,20,Male
29,20,Male
30,20,Male
31,20,Male
32,20,Male
33,20,Male
34,20,Male
35,20,Male
36,20,Male
37,22,Male
38,20,Male
39,20,Male
40,21,Male
41,21,Male
42,20,Male
43,23,Male
44,21,Male
45,24,Male
46,20,Male
47,20,Male
48,23,Male
49,20,Male
50,22,Male
