diet,politics
Carnivore,Conservative
Carnivore,Conservative
Carnivore,Conservative
Carnivore,Conservative
Carnivore,Conservative
Carnivore,Conservative
Carnivore,Conservative
Carnivore,Conservative
Carnivore,Conservative
Carnivore,Conservative
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Liberal
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Carnivore,Moderate
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Conservative
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Liberal
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
Omnivore,Moderate
