state_abbr,county_name,Democrat,Republican,Bachelors,Earnings,White,Population,Age
AL,Autauga County,0,1,1,1,0,0,1
AL,Baldwin County,0,1,1,0,1,0,0
AL,Barbour County,0,1,0,0,0,0,0
AL,Bibb County,0,1,0,0,0,0,0
AL,Blount County,0,1,0,1,1,0,0
AL,Bullock County,1,0,0,0,0,0,0
AL,Butler County,0,1,0,0,0,0,0
AL,Calhoun County,0,1,0,0,0,0,0
AL,Chambers County,0,1,0,0,0,0,0
AL,Cherokee County,0,1,0,0,1,0,0
AL,Chilton County,0,1,0,0,1,0,0
AL,Choctaw County,0,1,0,0,0,0,0
AL,Clarke County,0,1,0,0,0,0,0
AL,Clay County,0,1,0,1,1,0,0
AL,Cleburne County,0,1,0,0,1,0,0
AL,Coffee County,0,1,1,0,0,0,0
AL,Colbert County,0,1,0,0,0,0,0
AL,Conecuh County,0,1,0,0,0,0,0
AL,Coosa County,0,1,0,0,0,0,0
AL,Covington County,0,1,0,0,1,0,0
AL,Crenshaw County,0,1,0,0,0,0,0
AL,Cullman County,0,1,0,0,1,0,0
AL,Dale County,0,1,0,0,0,0,1
AL,Dallas County,1,0,0,0,0,0,1
AL,DeKalb County,0,1,0,0,1,0,0
AL,Elmore County,0,1,1,1,0,0,0
AL,Escambia County,0,1,0,0,0,0,0
AL,Etowah County,0,1,0,0,0,0,0
AL,Fayette County,0,1,0,0,1,0,0
AL,Franklin County,0,1,0,0,1,0,0
AL,Geneva County,0,1,0,0,1,0,0
AL,Greene County,1,0,0,0,0,0,0
AL,Hale County,1,0,0,0,0,0,0
AL,Henry County,0,1,0,0,0,0,0
AL,Houston County,0,1,0,0,0,0,0
AL,Jackson County,0,1,0,0,1,0,0
AL,Jefferson County,1,0,1,1,0,1,0
AL,Lamar County,0,1,0,0,1,0,0
AL,Lauderdale County,0,1,1,0,1,0,0
AL,Lawrence County,0,1,0,0,0,0,0
AL,Lee County,0,1,1,0,0,0,1
AL,Limestone County,0,1,1,1,0,0,0
AL,Lowndes County,1,0,0,0,0,0,0
AL,Macon County,1,0,1,0,0,0,1
AL,Madison County,0,1,1,1,0,1,0
AL,Marengo County,1,0,0,0,0,0,0
AL,Marion County,0,1,0,0,1,0,0
AL,Marshall County,0,1,0,0,1,0,0
AL,Mobile County,0,1,0,0,0,1,1
AL,Monroe County,0,1,0,0,0,0,0
AL,Montgomery County,1,0,1,0,0,1,1
AL,Morgan County,0,1,0,0,0,0,0
AL,Perry County,1,0,0,0,0,0,1
AL,Pickens County,0,1,0,0,0,0,0
AL,Pike County,0,1,1,0,0,0,1
AL,Randolph County,0,1,0,0,0,0,0
AL,Russell County,1,0,0,0,0,0,1
AL,St. Clair County,0,1,0,1,1,0,0
AL,Shelby County,0,1,1,1,1,0,1
AL,Sumter County,1,0,0,0,0,0,1
AL,Talladega County,0,1,0,0,0,0,0
AL,Tallapoosa County,0,1,0,0,0,0,0
AL,Tuscaloosa County,0,1,1,0,0,0,1
AL,Walker County,0,1,0,0,1,0,0
AL,Washington County,0,1,0,1,0,0,0
AL,Wilcox County,1,0,0,0,0,0,1
AL,Winston County,0,1,0,0,1,0,0
AK,Alaska,0,1,0,0,0,0,0
