end_result,game,game_id,period,play,player,playoffs,score,season,shot_made,time
106 - 94,DET - ATL,400827888,1,Marcus Morris makes free throw 1 of 2,Marcus Morris,regular,4-May,2015 - 2016,1,9:41
106 - 94,DET - ATL,400827888,1,Marcus Morris misses free throw 2 of 2,Marcus Morris,regular,4-May,2015 - 2016,0,9:41
106 - 94,DET - ATL,400827888,1,Andre Drummond misses free throw 1 of 2,Andre Drummond,regular,6-Oct,2015 - 2016,0,7:41
106 - 94,DET - ATL,400827888,1,Andre Drummond misses free throw 2 of 2,Andre Drummond,regular,6-Oct,2015 - 2016,0,7:41
106 - 94,DET - ATL,400827888,1,Paul Millsap makes free throw 1 of 2,Paul Millsap,regular,15 - 9,2015 - 2016,1,6:39
106 - 94,DET - ATL,400827888,1,Paul Millsap makes free throw 2 of 2,Paul Millsap,regular,15 - 10,2015 - 2016,1,6:39
106 - 94,DET - ATL,400827888,1,Reggie Jackson makes free throw 1 of 1,Reggie Jackson,regular,23 - 14,2015 - 2016,1,4:22
106 - 94,DET - ATL,400827888,2,Al Horford misses free throw 1 of 2,Al Horford,regular,31 - 32,2015 - 2016,0,8:08
106 - 94,DET - ATL,400827888,2,Al Horford makes free throw 2 of 2,Al Horford,regular,31 - 33,2015 - 2016,1,8:08
106 - 94,DET - ATL,400827888,3,Kentavious Caldwell-Pope makes free throw 1 of 1,Kentavious Caldwell-Pope,regular,56 - 43,2015 - 2016,1,8:37
106 - 94,DET - ATL,400827888,3,Al Horford makes free throw 1 of 1,Al Horford,regular,56 - 46,2015 - 2016,1,8:22
106 - 94,DET - ATL,400827888,3,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,69 - 51,2015 - 2016,1,4:33
106 - 94,DET - ATL,400827888,3,Andre Drummond misses free throw 2 of 2,Andre Drummond,regular,69 - 51,2015 - 2016,0,4:33
106 - 94,DET - ATL,400827888,3,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,73 - 58,2015 - 2016,1,2:40
106 - 94,DET - ATL,400827888,3,Andre Drummond makes free throw 2 of 2,Andre Drummond,regular,74 - 58,2015 - 2016,1,2:40
106 - 94,DET - ATL,400827888,3,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,75 - 58,2015 - 2016,1,2:15
106 - 94,DET - ATL,400827888,3,Andre Drummond makes free throw 2 of 2,Andre Drummond,regular,76 - 58,2015 - 2016,1,2:15
106 - 94,DET - ATL,400827888,4,Dennis Schroder makes free throw 1 of 2,Dennis Schroder,regular,84 - 69,2015 - 2016,1,11:14
106 - 94,DET - ATL,400827888,4,Dennis Schroder makes free throw 2 of 2,Dennis Schroder,regular,84 - 70,2015 - 2016,1,11:14
106 - 94,DET - ATL,400827888,4,Marcus Morris makes free throw 1 of 2,Marcus Morris,regular,91 - 78,2015 - 2016,1,5:24
106 - 94,DET - ATL,400827888,4,Marcus Morris makes free throw 2 of 2,Marcus Morris,regular,92 - 78,2015 - 2016,1,5:24
106 - 94,DET - ATL,400827888,4,Jeff Teague misses free throw 1 of 2,Jeff Teague,regular,94 - 78,2015 - 2016,0,4:47
106 - 94,DET - ATL,400827888,4,Jeff Teague makes free throw 2 of 2,Jeff Teague,regular,94 - 79,2015 - 2016,1,4:47
106 - 94,DET - ATL,400827888,4,Lamar Patterson makes free throw 1 of 2,Lamar Patterson,regular,94 - 83,2015 - 2016,1,3:38
106 - 94,DET - ATL,400827888,4,Lamar Patterson makes free throw 2 of 2,Lamar Patterson,regular,94 - 84,2015 - 2016,1,3:38
106 - 94,DET - ATL,400827888,4,Jeff Teague makes free throw 1 of 2,Jeff Teague,regular,96 - 87,2015 - 2016,1,1:59
106 - 94,DET - ATL,400827888,4,Jeff Teague makes free throw 2 of 2,Jeff Teague,regular,96 - 88,2015 - 2016,1,1:59
106 - 94,DET - ATL,400827888,4,Ersan Ilyasova misses free throw 1 of 2,Ersan Ilyasova,regular,96 - 88,2015 - 2016,0,1:04
106 - 94,DET - ATL,400827888,4,Ersan Ilyasova makes free throw 2 of 2,Ersan Ilyasova,regular,97 - 88,2015 - 2016,1,1:04
106 - 94,DET - ATL,400827888,4,Paul Millsap makes free throw 1 of 2,Paul Millsap,regular,97 - 89,2015 - 2016,1,0:55
106 - 94,DET - ATL,400827888,4,Paul Millsap misses free throw 2 of 2,Paul Millsap,regular,97 - 89,2015 - 2016,0,0:55
106 - 94,DET - ATL,400827888,4,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,98 - 89,2015 - 2016,1,0:44
106 - 94,DET - ATL,400827888,4,Andre Drummond misses free throw 2 of 2,Andre Drummond,regular,98 - 89,2015 - 2016,0,0:44
106 - 94,DET - ATL,400827888,4,Marcus Morris makes free throw 1 of 2,Marcus Morris,regular,99 - 91,2015 - 2016,1,0:37
106 - 94,DET - ATL,400827888,4,Marcus Morris makes free throw 2 of 2,Marcus Morris,regular,100 - 91,2015 - 2016,1,0:37
106 - 94,DET - ATL,400827888,4,Kentavious Caldwell-Pope makes free throw 1 of 2,Kentavious Caldwell-Pope,regular,101 - 94,2015 - 2016,1,0:28
106 - 94,DET - ATL,400827888,4,Kentavious Caldwell-Pope makes free throw 2 of 2,Kentavious Caldwell-Pope,regular,102 - 94,2015 - 2016,1,0:28
106 - 94,DET - ATL,400827888,4,Reggie Jackson makes free throw 1 of 2,Reggie Jackson,regular,103 - 94,2015 - 2016,1,0:21
106 - 94,DET - ATL,400827888,4,Reggie Jackson makes free throw 2 of 2,Reggie Jackson,regular,104 - 94,2015 - 2016,1,0:21
106 - 94,DET - ATL,400827888,4,Reggie Jackson makes free throw 1 of 2,Reggie Jackson,regular,105 - 94,2015 - 2016,1,0:11
106 - 94,DET - ATL,400827888,4,Reggie Jackson makes free throw 2 of 2,Reggie Jackson,regular,106 - 94,2015 - 2016,1,0:11
95 - 97,CLE - CHI,400827889,1,Nikola Mirotic makes free throw 1 of 1,Nikola Mirotic,regular,15 - 15,2015 - 2016,1,4:56
95 - 97,CLE - CHI,400827889,1,Taj Gibson misses free throw 1 of 2,Taj Gibson,regular,15 - 17,2015 - 2016,0,2:17
95 - 97,CLE - CHI,400827889,1,Taj Gibson makes free throw 2 of 2,Taj Gibson,regular,15 - 18,2015 - 2016,1,2:17
95 - 97,CLE - CHI,400827889,1,Jimmy Butler makes free throw 1 of 2,Jimmy Butler,regular,15 - 19,2015 - 2016,1,1:59
95 - 97,CLE - CHI,400827889,1,Jimmy Butler makes free throw 2 of 2,Jimmy Butler,regular,15 - 20,2015 - 2016,1,1:59
95 - 97,CLE - CHI,400827889,1,Taj Gibson makes free throw 1 of 2,Taj Gibson,regular,15 - 21,2015 - 2016,1,1:29
95 - 97,CLE - CHI,400827889,1,Taj Gibson makes free throw 2 of 2,Taj Gibson,regular,15 - 22,2015 - 2016,1,1:29
95 - 97,CLE - CHI,400827889,2,LeBron James misses free throw 1 of 2,LeBron James,regular,22 - 30,2015 - 2016,0,10:06
95 - 97,CLE - CHI,400827889,2,LeBron James misses free throw 2 of 2,LeBron James,regular,22 - 30,2015 - 2016,0,10:06
