Model,Price,PPM,CostBW
HP Photosmart Pro 8500A e-All-in-One,300,3.9,1.6
Canon Pixma MX882,199,2.9,5.2
Lexmark Impact S305,79,2.7,6.9
Epson Workforce 520,70,2.4,4.9
Brother MFC-J6910DW,348,4.1,1.7
HP Officejet 7500A Wide Format e-All-in-One,299,3.4,2.7
Canon Pixma iX7000 Inkjet Business Printer,248,2.8,4.1
Kodak ESP Office 2170 All-in-One Printer,150,3,3.7
HP Photosmart Plus e-All-in-One,150,3.2,4.2
Kodak ESP C310 All-in-One,87,2.7,3.7
Dell P513w All-in-One Wireless,100,2.7,8.3
Brother MFC-J410W,99,2.2,5
Dell V715w,189,2.5,3.8
Kodak ESP C310 All-in-One,99,2.7,3.7
Epson Stylus NX420,60,1.7,5.7
Kodak ESP 7250 All-in-One,199,2.8,2.2
Canon Pixma 420 Wireless Inject Office,149,1.8,5.5
Canon Pixma MX360 Office Inkjet All-in-One,79,1.8,5.5
Epson WorkForce 635,199,4.1,3
