Q1 Did you move to Chico to attend College?,Q2 How may classes are you taking this semester,Q3 How often do you procrastinate on your assignments?,Q4  Where do you typically study or do your homework?,Q5   What was your GPA last semester?,Q6  Have you taken a class that's required for your major that you were not interested in?,Q7  How different was your home environment while in high school compared to now while in college?,Q8  In a typical week when do your homework or study?,Q9  What time of day do you feel you process lecture information from class the best?,Q10 What sources do you typically get your news from?,Q11  How often do you feel focused and engaged in class (not specifically statistics  any class)?,Q12  On a scale of 1 to 10  how would you rate your ability to stay focused on a single task for an extended period of time?,Q13 In a typical week  how many hours do you spend socializing real time with others not in person (e.g. online or over text)?,Q14  In a typical week  how many hours do you spend working at a job?,Q15  In a typical week  how many hours do you spend on schoolwork and studying?,Q16  On a typical day  how many hours do you spend on social media (any platform)?,Q17  In a typical week  how many hours do you spend socializing real time with others in person?,Q18  In a typical week  how many hours do you spend engaging in moderate physical activity (e.g. playing sports  exercising)?,Q19  In a typical week  how many times do you go out to party?,Q20  On a typical day  how many hours do you spend on Instagram and Snapchat combined (specifically these platforms)?,Q21  On a typical day  how many hours do you spend on the internet (non-social media and non-school related activities)?,Q22 In a typical week  how frequently do you eat from fast food restaurants  convenience stores  or vending machines for a meal or meal replacement?,Q23  How often do you purchase items that are promoted by an influencer on social media?,Q24  On a scale of 1 to 10  how much do you prefer big-name brands over lesser-known brands?,Q25  Where do you usually shop for groceries?,Q26 How old are you?,Q27 What is your gender identity?,Q28 How many times a month do you go grocery shopping?,Q29  How productive do you feel after eating a meal?,Q30 On a typical day  how many meals do you eat?,Q31  On a typical day  how much caffeine do you consume? Please consider all sources such as coffee  tea  energy drinks  and soda.,Q32  How would you describe your current dietary habits and diet quality?,Q33 How many roommates do you have?,Q34  On a scale of 1 to 10  how satisfied are you with your current living arrangement?,Q35  How long (in minutes) is your typical commute to class?,Q36  How often are you worried about other peoples opinions of you?,Q37 Have you visited the Wildcat Food pantry?,Q38  Do you consider yourself an extrovert (thrive on social interaction and seek external stimulation)  an introvert (prefer solitude and find energy in alone time)  or an ambivert (mix/middle ground between those two),Q39  On a scale from 1 to 10  how much stress do you experience when dealing with schoolwork?,Q40  On a scale of 1 to 10  how well do you feel you are managing your stress and emotions in your day-to-day life?,Q41  Your relationship with yourself involves self-awareness  self-acceptance  and self-care  among others. On a scale from 1 to 10  how would you rate your relationship with yourself?,Q42  How would you describe your general health?,Q43  On a scale of 1 to 10  how would you rate the overall quality of your sleep in a typical week?,Q44  In a typical week how many days do you feel that you get enough sleep?,Q45  On a typical school night  how many hours of sleep do you get?,Q46  On a typical school night  what time do you go to bed?,Q47  Do you think others view you differently because of your culture?,Q48  Are you in a/any romantic relationship/s?,Q49  Do you participate in any school-based extracurricular activities?,Q50 When you don't understand a homework problem/assignment  what is the first place you go to seek clarity?,Q51  Do you play multiplayer online games that have significant person-to-person interactions?,Q52  How would you describe your current social life?
Yes,5,Frequently,Home,2,Yes,4,Late at night,Mid-day,,Sometimes,5,10,0,14,10,40,3,0,10,10,,Never,6,Big box or superstores like Walmart and Target,19,Male,0,Somewhat,2,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Fair,3,8,15,Sometimes,,Introvert,9,3,10,Very Good,4,4,7,12am-2am,No,No,No,,Yes,Fair
Yes,5,Frequently,Home,4,Yes,3,Immediately after class,Afternoon,,Rarely,1,60,0,8,9,1,,0,0,11,,Rarely,6,Supermarkets like Raleys  Safeway and Winco,18,Male,1,Somewhat,2,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Fair,1,8,15,Rarely,,Introvert,8,5,6,Good,6,2,7,10pm-12am,No,No,No,,Yes,Fair
Yes,5,Sometimes,Library,3.5,No,4,Immediately after class,Afternoon,,Often,6,10,0,70,3,40,50,2,2,2,,Rarely,5,Other,18,Male,0,Not at all,4,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Vey good,1,5,100,Sometimes,,Ambivert,7,5,6,Very Good,7,5,8,10pm-12am,No,Yes,Yes,,Yes,Good
Yes,5,Occasionally,quiet room on campus,4,No,5,Between classes,Afternoon,,Sometimes,3,10,0,20,2,5,3,0,2,4,,Rarely,5,Supermarkets like Raleys  Safeway and Winco,21,Female,3,Very,2,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Fair,3,5,25,Sometimes,,Introvert,7,5,9,Fair,3,4,6,12am-2am,Yes,No,Yes,,No,Poor
No,5,Frequently,Library,4,,5,In the evening,Mid-day,,Rarely,2,10,0,3,3,5,0,0,3,1,,Never,8,Supermarkets like Raleys  Safeway and Winco,18,Female,1,Not at all,1,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,1,6,130,Frequently,,Extrovert,6,10,10,Good,7,4,7,10pm-12am,No,No,Yes,,No,Poor
Yes,5,Frequently,Home,3.2,No,2,On the weekend,Late at night,,Sometimes,4,10,15,4,4,20,12,2,3,1,,Often,7,Big box or superstores like Walmart and Target,19,Female,6,Moderatly,3,201-300 mg (e.g.  1 large brewed coffee or 1 Monster energy drink),Vey good,3,10,25,Frequently,,Ambivert,8,7,6,Good,7,5,8,10pm-12am,No,No,No,,No,Very good
Yes,5,Frequently,Home,3.8,No,5,Late at night,Afternoon,,Sometimes,6,0,0,60,20,10,0,1,20,10,,Never,8,Supermarkets like Raleys  Safeway and Winco,18,Female,2,Slightly,2,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Fair,1,7,13,Sometimes,,Introvert,9,4,5,Good,3,2,4,12am-2am,Yes,Yes,No,,No,Good
No,5,Occasionally,Home,3.4,Yes,3,In the evening,Afternoon,,Sometimes,7,10,18,14,2,60,4,0,1,4,,Never,2,Big box or superstores like Walmart and Target,27,Male,4,Somewhat,2,None,Good,1,6,106,Rarely,,Introvert,6,6,5,Good,4,2,5,10pm-12am,No,Yes,No,,Yes,Fair
Yes,5,Frequently,Home,3.9,No,5,In the evening,Mid-day,,Sometimes,6,5,0,10,4,70,7,2,3,3,,Never,7,Supermarkets like Raleys  Safeway and Winco,18,Female,0,Slightly,3,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,1,8,10,Frequently,,Ambivert,6,8,8,Good,7,4,7,10pm-12am,No,No,No,,No,Excellent
Yes,4,Sometimes,Home,3.75,No,4,Immediately after class,Mid-day,,Sometimes,7,70,0,24,10,10,2,4,11,10,,Never,5,Supermarkets like Raleys  Safeway and Winco,18,Female,2,Somewhat,2,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,5,8,20,Sometimes,,Introvert,4,5,8,Good,7,5,8,12am-2am,Yes,No,No,,No,Good
