Title,Year,Studio,Genre,Budget,USboxOffice,OpenWeekend,MovieLength,TrailerLength,Director,DirectorGender,DirectorRace,Star,StarGender,StarRace,Costar,CostarGender,CostarRace,IMDbRating,Metascore,Metacritic,RottenTomatoes,NumberOscars,OscarNoms,OscarWinner
12 Years a Slave,2013,Fox,Drama,20,56.7,0.92,134,146,Steve McQueen,Male,POC,Chiwetel Ejiofor,Male,POC,Michael Kenneth Williams,Male,POC,8.1,96,80,90,3,9,yes
Aladdin,1992,Walt Disney,Animated,28,217.4,0.2,90,50,Ron Clements,Male,W,Scott Weinger,Male,W,Robin Williams,Male,W,7.9,"","",92,2,5,yes
Alice in Wonderland,2010,Walt Disney,Action/Adventure,200,334.2,116.1,108,31,Tim Burton,Male,W,Mia Wasikowska,Female,W,Johnny Depp,Male,W,6.5,53,38,51,2,3,yes
Avatar,2009,Fox,Action/Adventure,237,761.5,7.7,162,215,James Cameron,Male,W,Sam Worthington,Male,W,Zoe Saldana,Female,POC,8,83,35,83,3,9,yes
Avengers: Endgame,2019,Walt Disney,Action/Adventure,356,858.4,357.1,181,147,Anthony and Joe Russo,Male,W,Chris Evans,Male,W,Robert Downey Jr.,Male,W,8.4,80,78,94,0,1,no
Beauty and the Beast,2017,Walt Disney,Other,160,504.1,174.8,129,128,Bill Condon,Male,W,Emma Watson,Female,W,Dan Stevens,Male,W,7.1,65,67,71,0,2,no
Beverly Hills Cop,1984,Paramount,Action/Adventure,14,234.8,15.2,105,145,Martin Brest,Male,W,Eddie Murphy,Male,POC,Judge Reinhold,Male,W,7.3,"","",83,0,1,no
Birdman,2014,Fox,Drama,18,42.3,0.424,119,173,Alejandro G. Inarritu,Male,POC,Michael Keaton,Male,W,Zach Galifianakis,Male,W,7.7,87,76,91,4,9,yes
Black Panther,2018,Marvel,Action/Adventure,200,700.1,202.1,135,118,Ryan Coogler,Male,POC,Chadwich Boseman,Male,POC,Michael B Jordan,Male,POC,7.3,88,86,76,3,6,yes
Brave,2012,Walt Disney,Animated,185,223.4,66.3,100,151,Mark Andrews,Male,W,Kelly Macdonald,Female,W,Billy Connolly,Male,W,7.9,69,36,77,"","",""
