Team,WinPct,PtsFor,PtsAgainst
Milwaukee Bucks,0.732,118.1,109.3
Toronto Raptors,0.707,114.4,108.4
Golden State Warriors,0.695,117.7,111.2
Denver Nuggets,0.659,110.7,106.7
Portland Trail Blazers,0.646,114.7,110.5
Houston Rockets,0.646,113.9,109.1
Philadelphia 76ers,0.622,115.2,112.5
Utah Jazz,0.61,111.7,106.5
Boston Celtics,0.598,112.4,108
Oklahoma City Thunder,0.598,114.5,111.1
Indiana Pacers,0.585,108,104.7
San Antonio Spurs,0.585,111.7,110
Los Angeles Clippers,0.585,115.1,114.3
Brooklyn Nets,0.512,112.2,112.3
Orlando Magic,0.512,107.3,106.6
Detroit Pistons,0.5,107,107.3
Charlotte Hornets,0.476,110.7,111.8
Miami Heat,0.476,105.7,105.9
Sacramento Kings,0.476,114.2,115.3
Los Angeles Lakers,0.451,111.8,113.5
Minnesota Timberwolves,0.439,112.5,114
Memphis Grizzlies,0.402,103.5,106.1
New Orleans Pelicans,0.402,115.4,116.8
Dallas Mavericks,0.402,108.9,110.1
Washington Wizards,0.39,114,116.9
Atlanta Hawks,0.354,113.3,119.4
Chicago Bulls,0.268,104.9,113.4
Cleveland Cavaliers,0.232,104.5,114.1
Phoenix Suns,0.232,107.5,116.8
New York Knicks,0.207,104.6,113.8
