NAME,POS,40 SPEED,League,3-CONE,SHUTTLE,VERTICAL,BROAD,BENCH
Dri Archer,RB,4.26,AFC,6.86,4.06,38,122,20
Brandin Cooks,WR,4.33,NFC,6.76,3.81,36,120,16
John Brown,WR,4.34,NFC,6.91,4.12,36.5,119,--
Justin Gilbert,CB,4.37,AFC,6.92,--,35.5,126,20
Phillip Gaines,CB,4.38,AFC,6.62,4.04,36.8,122,15
Jason Verrett,CB,4.38,AFC,6.69,4,39,128,--
Bradley Roby,CB,4.39,AFC,--,4.04,38.5,124,17
Donte Moncrief,WR,4.4,NFC,7.02,4.3,39.5,132,13
Paul Richardson,WR,4.4,NFC,7.09,--,38,124,--
Jaylen Watkins,CB,4.41,NFC,--,--,--,--,22
Brandon Dixon,CB,4.41,NFC,7.15,4.27,32.5,117,17
Jerick McKinnon,RB,4.41,NFC,6.83,4.12,40.5,132,32
Terrence Brooks,S,4.42,AFC,7.35,--,38,119,10
Jeff Janis,WR,4.42,NFC,6.64,3.98,37.5,123,20
Martavis Bryant,WR,4.42,AFC,7.18,4.15,39,124,16
Odell Beckham Jr.,WR,4.43,NFC,6.69,3.94,38.5,122,7
Albert Wilson,WR,4.43,AFC,7,4.21,37.5,123,10
Sammy Watkins,WR,4.43,AFC,6.95,4.34,34,126,16
Henry Josey,RB,4.43,AFC,7.07,4.13,34.5,118,20
Jalen Saunders,WR,4.44,NFC,--,--,34,122,--
Kendall James,CB,4.44,NFC,6.81,4.19,39,--,9
Damien Williams,RB,4.45,AFC,7.27,4.06,38,129,--
Deion Belue,CB,4.45,AFC,--,--,--,--,11
Dontae Johnson,CB,4.45,NFC,6.82,4.27,38.5,124,12
Jabari Price,CB,4.45,NFC,7.04,4.3,--,--,16
Bruce Ellington,WR,4.45,NFC,6.69,3.95,39.5,120,15
Tevin Reese,WR,4.46,AFC,6.63,4.18,41,132,--
L'Damian Washington,WR,4.46,NFC,7.19,4.35,32,115,8
Michael Campanaro,WR,4.46,AFC,6.77,4.01,39,122,20
