course_id,prof_id,score,rank,ethnicity,gender,language,age,bty_avg
1,1,4.7,tenure track,minority,female,english,36,5
2,1,4.1,tenure track,minority,female,english,36,5
3,1,3.9,tenure track,minority,female,english,36,5
4,1,4.8,tenure track,minority,female,english,36,5
5,2,4.6,tenured,not minority,male,english,59,3
6,2,4.3,tenured,not minority,male,english,59,3
7,2,2.8,tenured,not minority,male,english,59,3
8,3,4.1,tenured,not minority,male,english,51,3.333
9,3,3.4,tenured,not minority,male,english,51,3.333
10,4,4.5,tenured,not minority,female,english,40,3.167
11,4,3.8,tenured,not minority,female,english,40,3.167
12,4,4.5,tenured,not minority,female,english,40,3.167
13,4,4.6,tenured,not minority,female,english,40,3.167
14,4,3.9,tenured,not minority,female,english,40,3.167
15,4,3.9,tenured,not minority,female,english,40,3.167
16,4,4.3,tenured,not minority,female,english,40,3.167
17,4,4.5,tenured,not minority,female,english,40,3.167
18,5,4.8,tenure track,not minority,female,english,31,7.333
19,5,4.6,tenure track,not minority,female,english,31,7.333
20,5,4.6,tenure track,not minority,female,english,31,7.333
21,5,4.9,tenure track,not minority,female,english,31,7.333
22,5,4.6,tenure track,not minority,female,english,31,7.333
23,5,4.5,tenure track,not minority,female,english,31,7.333
24,6,4.4,tenured,not minority,male,english,62,5.5
25,6,4.6,tenured,not minority,male,english,62,5.5
26,6,4.7,tenured,not minority,male,english,62,5.5
27,6,4.5,tenured,not minority,male,english,62,5.5
28,6,4.8,tenured,not minority,male,english,62,5.5
29,6,4.9,tenured,not minority,male,english,62,5.5
30,6,4.5,tenured,not minority,male,english,62,5.5
31,7,4.4,tenure track,not minority,female,english,33,4.167
32,7,4.3,tenure track,not minority,female,english,33,4.167
33,7,4.1,tenure track,not minority,female,english,33,4.167
34,7,4.2,tenure track,not minority,female,english,33,4.167
35,7,3.5,tenure track,not minority,female,english,33,4.167
36,8,3.4,tenured,not minority,female,english,51,4
37,8,4.5,tenured,not minority,female,english,51,4
38,8,4.4,tenured,not minority,female,english,51,4
39,8,4.4,tenured,not minority,female,english,51,4
40,8,2.5,tenured,not minority,female,english,51,4
41,8,4.3,tenured,not minority,female,english,51,4
42,8,4.5,tenured,not minority,female,english,51,4
43,9,4.8,tenure track,not minority,female,english,33,4.667
44,9,4.8,tenure track,not minority,female,english,33,4.667
45,9,4.4,tenure track,not minority,female,english,33,4.667
46,9,4.7,tenure track,not minority,female,english,33,4.667
47,9,4.4,tenure track,not minority,female,english,33,4.667
48,9,4.7,tenure track,not minority,female,english,33,4.667
49,9,4.5,tenure track,not minority,female,english,33,4.667
50,10,4,teaching,not minority,male,english,47,5.5
51,10,4.3,teaching,not minority,male,english,47,5.5
52,10,4.4,teaching,not minority,male,english,47,5.5
53,10,4.5,teaching,not minority,male,english,47,5.5
54,10,5,teaching,not minority,male,english,47,5.5
55,10,4.9,teaching,not minority,male,english,47,5.5
56,10,4.6,teaching,not minority,male,english,47,5.5
57,10,5,teaching,not minority,male,english,47,5.5
58,10,4.7,teaching,not minority,male,english,47,5.5
59,10,5,teaching,not minority,male,english,47,5.5
60,11,3.6,tenure track,minority,male,non-english,35,4.833
61,11,3.7,tenure track,minority,male,non-english,35,4.833
62,11,4.3,tenure track,minority,male,non-english,35,4.833
63,12,4.1,teaching,not minority,male,english,37,4.333
64,12,4.2,teaching,not minority,male,english,37,4.333
