Required,Children,Sex,Age
Yes,Yes,Female,28
Yes,No,Female,18
Unsure,No,Male,20
Yes,Yes,Male,21
Yes,Yes,Male,25
Yes,No,Female,18
Unsure,No,Female,44
Yes,No,Female,17
No,No,Male,18
Yes,Yes,Male,54
Yes,No,Female,18
Unsure,No,Male,21
Unsure,No,Male,21
Yes,No,Female,19
Yes,No,Male,26
Yes,Yes,Male,44
Yes,No,Male,21
No,No,,21
Yes,No,Male,33
Yes,No,Female,20
Yes,Yes,Female,48
No,No,Male,21
Yes,Yes,Female,36
Yes,No,Male,20
No,Yes,Male,29
Yes,No,Female,43
Yes,Yes,Female,47
No,No,Male,19
No,No,Male,28
Yes,No,Male,29
Yes,No,Female,19
Yes,No,Male,37
Yes,No,Male,18
Yes,Yes,Male,39
Yes,No,Male,21
Yes,No,Male,21
Yes,No,Female,27
Yes,Yes,Female,48
Yes,No,Female,20
Yes,No,Female,20
Yes,No,Female,20
Yes,No,Male,18
Yes,Yes,Male,12
Unsure,Yes,Female,23
Yes,No,Male,38
Yes,Yes,Female,30
No,No,Male,17
Yes,No,Female,21
Yes,No,Female,18
Yes,No,Male,20
Yes,No,Female,20
Yes,No,Male,33
Yes,No,Female,30
Yes,No,Male,21
No,No,Female,20
Yes,No,Female,24
No,No,Male,22
Yes,No,Female,18
Yes,No,Male,19
Yes,Yes,Female,45
Yes,No,Female,20
Yes,No,Male,18
Yes,Yes,Female,47
Yes,Yes,Female,50
Yes,Yes,Female,50
Yes,No,Male,19
Yes,No,Female,31
Yes,No,Male,20
Yes,No,Female,20
Yes,Yes,Male,32
Yes,No,Female,19
Yes,Yes,Male,50
Yes,No,Male,20
No,No,Female,28
Yes,No,Female,17
Yes,No,Male,22
No,No,Female,38
Yes,No,Female,18
No,No,Male,10
Yes,No,Female,22
Yes,Yes,Male,17
No,No,Male,18
Yes,No,Female,16
Yes,No,Female,16
Unsure,No,Male,20
Unsure,No,Female,21
Yes,No,Female,12
Yes,Yes,Female,28
No,No,Female,56
Yes,No,Male,20
Yes,Yes,Male,25
Yes,No,Male,49
Yes,No,Female,19
Yes,No,Male,19
Unsure,No,Female,19
No,No,Female,32
No,No,Female,21
Yes,No,Female,22
Yes,No,Female,19
Yes,No,Female,19
Yes,No,Female,50
Yes,No,Male,18
Yes,Yes,Female,40
No,Yes,Male,40
Yes,No,Female,22
Yes,No,Female,16
Yes,Yes,Female,63
Yes,No,Female,18
Yes,No,Female,10
Yes,No,Male,18
Yes,Yes,Male,28
No,No,Female,20
No,No,Female,98
No,No,Female,20
Yes,Yes,Male,42
No,Yes,Female,26
No,No,Female,21
Yes,No,Female,20
Yes,No,Male,27
Yes,Yes,Female,34
Yes,No,Female,19
Yes,No,Female,26
Yes,Yes,Female,46
Yes,No,Female,19
Yes,Yes,Female,52
Yes,No,Female,31
Yes,No,Male,20
Yes,Yes,Female,24
No,No,Male,20
Yes,Yes,Male,51
Yes,No,Male,20
Yes,No,Female,18
Yes,No,Male,21
Yes,Yes,Female,54
Yes,No,Female,43
Yes,Yes,Male,55
Yes,Yes,Male,28
Yes,Yes,Female,29
Yes,No,Female,22
Yes,No,,23
Yes,No,Male,42
Yes,No,Female,18
No,No,Female,16
No,No,Male,28
Yes,No,Male,24
No,No,Male,56
Yes,Yes,Female,16
Yes,Yes,Male,36
Yes,No,Female,20
No,Yes,Female,40
Yes,Yes,Female,44
Yes,No,Female,12
No,Yes,Female,25
Yes,No,Female,23
Yes,No,Male,50
Yes,Yes,Female,24
Yes,No,Female,39
Yes,No,Female,19
Yes,No,Male,28
Unsure,No,Male,21
Yes,Yes,Female,32
Unsure,Yes,Female,56
Yes,No,Female,28
Yes,No,Female,40
Yes,No,Male,29
Yes,No,Female,22
Unsure,No,Female,20
Yes,Yes,Male,39
Yes,No,Female,36
Unsure,No,Female,18
Yes,No,Female,39
Yes,No,Female,22
Yes,No,Male,29
Yes,No,Male,28
Yes,Yes,Female,29
Yes,No,Male,51
No,No,Male,27
Yes,No,Female,34
Unsure,No,Female,22
Yes,No,Male,60
No,Yes,Female,43
Yes,Yes,Male,61
Yes,No,Female,18
Yes,Yes,Male,36
Yes,No,Female,44
Yes,No,Female,19
Yes,No,Female,21
No,No,Male,25
Yes,No,Female,21
Yes,No,Male,32
Yes,No,Female,18
Yes,No,Female,53
Yes,No,Female,20
Yes,No,Female,24
Yes,Yes,Female,46
Yes,No,Female,23
Unsure,No,Male,19
Yes,Yes,Female,40
Yes,No,Female,18
