Name,Park,City,State,Country,Type,Construction,Construction,Height,Speed,Length,Inversions,Inversions,Numinversions,Duration,GForce,Opened,Region
Batman The Ride,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,1,32.004,81,822.96,Yes,1,5,120,4,1994,North America
Big Thunder Mountain Railroad,Disneyland,Anaheim,CA,US,S,Steel,1,,45.36,814.121,No,0,0,,,1979,North America
Boomerang,Knott's Berry Farm,Buena Park,CA,US,S,Steel,1,35.5092,76.14,284.988,Yes,1,3,108,5.2,1990,North America
Boomerang Coast to Coaster,Six Flags Discovery Kingdom,Vallejo,CA,US,S,Steel,1,35.5092,76.14,284.988,Yes,1,3,168,6.2,1998,North America
California Screamin',Disney's California Adventure,Anaheim,CA,US,S,Steel,1,,89.1,1850.75,Yes,1,1,156,,2001,North America
Canyon Blaster,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,1,,,,No,0,0,,,1999,North America
Coastersaurus,Legoland California,Carlsbad,CA,US,S,Steel,1,5.4864,32.4,149.962,No,0,0,,,2004,North America
Cobra,Six Flags Discovery Kingdom,Vallejo,CA,US,S,Steel,1,7.9248,35.64,359.969,No,0,0,,,2000,North America
Colossus,Six Flags Magic Mountain,Valencia,CA,US,W,Wood,0,38.1,100.44,1318.26,No,0,0,150,3.2,1978,North America
Déjà Vu,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,1,58.2168,105.3,366.979,Yes,1,3,92,4.5,2001,North America
Demon,California's Great America,Santa Clara,CA,US,S,Steel,1,31.0896,81,649.224,Yes,1,4,105,,1976,North America
Dragon,Legoland California,Carlsbad,CA,US,S,Steel,1,,,,No,0,0,,,1999,North America
Dragon,Traintown,Sonoma,CA,US,S,Steel,1,,,,No,0,0,,,2001,North America
Flight Deck,California's Great America,Santa Clara,CA,US,S,Steel,1,31.0896,81,688.848,Yes,1,3,146,,1993,North America
Flying Dragon,Funderland Amusement Park,Sacramento,CA,US,S,Steel,1,,,,No,0,0,,,1990,North America
Flying Dragon Coaster,Pixieland Amusement Park,Concord,CA,US,S,Steel,1,,,,No,0,0,,,1995,North America
Freeway Coaster,Adventure City,Anaheim,CA,US,S,Steel,1,,,,No,0,0,,,1994,North America
Gadget's Go Coaster,Disneyland,Anaheim,CA,US,S,Steel,1,8.2296,34.02,206.959,No,0,0,44,,1993,North America
GhostRider,Knott's Berry Farm,Buena Park,CA,US,W,Wood,0,35.9664,90.72,1381.66,No,0,0,160,3.1,1998,North America
Giant Dipper,Belmont Park,San Diego,CA,US,W,Wood,0,22.2504,89.1,792.48,No,0,0,,,1925,North America
Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,CA,US,W,Wood,0,21.336,89.1,804.672,No,0,0,112,,1924,North America
Go-Gator,Kiwanis Kiddieland,Merced,CA,US,S,Steel,1,,,,No,0,0,,,2008,North America
Gold Rusher,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,1,21.336,56.7,789.432,No,0,0,150,,1971,North America
Goliath,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,1,71.628,137.7,1371.6,No,0,0,180,,2000,North America
Grizzly,California's Great America,Santa Clara,CA,US,W,Wood,0,27.7368,89.1,990.6,No,0,0,160,,1986,North America
Hurricane,Santa Cruz Beach Boardwalk,Santa Cruz,CA,US,S,Steel,1,,,,No,0,0,,,1992,North America
