hours	less_eight
6.09	no
7.24	no
9.05	yes
5.86	no
6.94	no
7.18	no
7.87	no
6.77	no
9.63	yes
6.88	no
7.52	no
8.22	yes
6.6	no
5.95	no
9.33	yes
4.84	no
8.09	yes
7.07	no
8.26	yes
7.54	no
9.8	yes
5.8	no
9.05	yes
9.59	yes
7.04	no
4.73	no
7.59	no
6.39	no
7.98	no
7.37	no
7.91	no
7.4	no
8.35	yes
6.72	no
6.21	no
6.39	no
5.32	no
6.08	no
6.43	no
6.76	no
6.61	no
5.12	no
6.14	no
9.51	yes
7.77	no
9.64	yes
6.7	no
6.93	no
6.83	no
5.8	no
6.15	no
9.76	yes
6.43	no
8.61	yes
5.94	no
5.12	no
6.68	no
8.16	yes
8.43	yes
9.17	yes
5.27	no
9.7	yes
6.28	no
7.21	no
7.62	no
6.17	no
5.09	no
6.51	no
7.13	no
6.09	no
6.07	no
7.41	no
6.88	no
7.54	no
6.97	no
6.08	no
8.65	yes
7.95	no
8.32	yes
5.6	no
8.24	yes
5.35	no
6.46	no
5.64	no
4.92	no
9.39	yes
6.33	no
6.72	no
6.61	no
7.48	no
9.07	yes
9.18	yes
5.81	no
5.65	no
5.51	no
5.75	no
9.6	yes
7.04	no
6.14	no
6.39	no
11.88	yes
10.06	yes
8.94	yes
8.17	yes
7.98	no
14.47	yes
11.56	yes
14.36	yes
8.74	yes
8.87	yes
