Age,Weight,Length,PawCircumference,NoseBlack,Sex
6.8,383,83,4.2,0.48,male
7.4,429,79,4.2,0.44,male
6.5,396,81,4.4,0.45,male
1.1,139,47,2.7,0.04,male
5.3,286,78,3.4,0.29,male
10.1,251,68,3.9,0.59,female
5.2,243,66,3.6,0.17,female
10.5,353,72,4.1,0.66,male
17.2,409,74,3.9,0.98,male
"",257,68,3.5,0.39,female
6.9,390,80,4.6,0.44,male
6.5,325,71,3.3,"",male
1.2,1,55,2.8,0.01,male
7,275,"",3.7,0.45,female
13.6,261,67,3.5,0.91,female
4.4,354,75,4.4,0.05,male
6.1,250,71,3.4,0.26,female
3.8,341,76,3.9,0.1,male
6.5,396,81,4.4,0.45,male
1.1,91,50,2.8,0.03,female
1.7,144,57,2.9,0.04,female
11.3,263,71,3.6,0.79,female
3.6,361,75,4.5,0.16,male
15.1,449,81,4.6,0.92,male
7.4,429,79,4.2,0.44,male
13.4,251,69,3.5,0.91,female
10,290,67,3.8,0.59,female
2.4,"",60,3.3,"",female
3,441,79,4.6,0.03,male
19.4,274,69,3.4,1,female
11.9,263,70,3.7,0.76,female
4,335,77,3.8,0.18,male
6.7,261,65,3.6,0.4,female
5.1,323,77,4.3,0.18,male
"",398,79,5.1,0.07,male
5.7,418,82,4.2,0.25,male
"",414,77,3.6,0.25,male
11.4,367,76,4.3,0.84,male
"",246,69,3.6,0.8,female
"",271,69,3.9,0.01,male
10.1,423,77,4.4,0.68,male
1.2,109,57,2.4,0.05,female
10.5,353,72,4.1,0.66,male
6.4,268,66,3.6,0.26,female
4.2,346,74,4.1,0.1,male
15.1,449,81,4.6,0.92,male
3.5,372,80,4.5,0.11,male
1.2,"",52,2.7,"",male
3.8,341,76,3.9,0.1,male
"",358,79,4.2,0.01,male
13.9,257,69,3.4,0.87,female
"",362,73,"",0.12,male
12.1,271,71,3.5,0.77,female
2,116,61,3.1,0.09,male
"",409,79,3.9,0.7,male
5.4,307,75,5.1,0.12,male
9.3,273,68,3.5,0.52,female
8.1,272,69,3.2,0.48,female
3.2,240,"",3.6,0.03,female
5.7,268,68,3.5,0.2,female
5.4,354,73,4,0.33,male
3.2,319,73,4.8,0.08,male
11.9,332,"",3.8,0.8,male
15,359,74,4.4,0.85,male
5.3,286,78,3.4,0.29,male
7,261,67,3.2,0.3,female
0.8,38,48,2.7,0.01,male
2.4,237,62,2.9,0.11,female
9.8,262,68,3.4,0.57,female
0.3,56,48,2,0,male
4.5,431,73,4.5,0.29,male
8.2,397,80,4.9,0.58,male
0.8,93,51,2.5,0,female
3.5,265,69,3.3,0.08,female
1.5,129,50,3,0.04,female
1.1,78,51,2.6,0.05,female
13,315,71,4,0.75,male
4.1,275,72,3.6,0.12,female
1.8,212,56,3,0.01,female
4.6,249,67,3.8,0.04,female
11.2,263,68,3.2,0.7,female
13.9,273,70,3.9,0.9,female
10.9,424,76,4.5,0.72,male
6,384,75,4.8,0.37,male
3.2,316,71,4.1,0.05,male
5.4,267,68,3.5,0.32,female
1.8,148,56,2.9,0.04,female
14.5,428,77,4.4,0.91,male
1.8,212,56,3,0.01,female
0.8,108,47,2.5,0.03,female
10.8,276,71,3.4,0.68,female
9,371,75,4.4,0.61,male
19.8,261,70,3.4,1,female
6.9,389,78,4.2,0.46,male
13.9,273,70,3.9,0.9,female
9.2,449,79,4.4,0.58,male
4,425,82,5,0.18,male
7.1,283,68,3.3,0.29,female
8.5,435,75,4.8,0.63,male
6.7,373,82,3.9,0.25,male
1.3,116,52,2.6,0.04,male
17.5,293,71,3.7,1,female
2.3,237,60,3.4,0.08,male
1.4,87,53,3,0.06,male
2.2,239,58,3.3,0.1,male
13,288,71,4,0.71,female
7.3,256,67,3.4,0.27,female
8.7,257,67,3.3,0.59,female
13.3,264,69,3.6,0.83,female
7.6,260,69,3.7,0.25,female
3.3,251,68,3.7,0.09,male
3.7,264,68,3.6,0.21,female
3.3,351,77,4.3,0.19,male
15.8,350,79,5,0.96,male
13,315,71,4,0.75,male
4.1,270,68,3.6,0.1,female
2.3,237,60,3.4,0.08,male
7.7,275,72,3.9,0.32,female
7.2,355,76,4.4,0.38,male
13.9,293,71,4.6,0.81,male
0.5,104,48,2.4,0.02,female
5.3,269,70,3.5,0.38,female
10.1,420,82,3.8,0.73,male
3.1,376,79,4.6,0.04,male
8.5,435,75,4.8,0.63,male
1.8,53,58,2.9,0.05,female
6,384,75,4.8,0.37,male
7.1,349,80,4.9,0.41,male
14.3,258,69,3.4,0.83,female
8.7,257,67,3.3,0.59,female
2.2,239,58,3.3,0.1,male
4.5,386,76,4.6,0.23,male
19.8,261,70,3.4,1,female
6.9,372,78,5.1,0.36,male
1.8,148,56,2.9,0.04,female
7.2,355,76,4.4,0.38,male
6.1,271,69,3.8,0.26,female
1.6,118,53,3.1,0.04,male
6.5,260,70,3.8,0.43,female
10.1,363,75,4.2,0.68,male
2,161,58,3,0.02,male
1.8,53,58,2.9,0.05,female
6.7,373,82,3.9,0.25,male
8.7,388,75,4.4,0.54,male
1.8,241,57,3,0.09,male
4.7,272,70,3.6,0.2,female
5.6,347,74,4.7,0.18,male
6,376,78,4.9,0.22,male
13.3,264,69,3.6,0.83,female
4.1,270,68,3.6,0.1,female
7.6,260,69,3.7,0.25,female
5.2,420,80,3.8,0.25,male
2.2,239,58,3.3,0.1,male
3.6,258,68,3.7,0.1,female
13,288,71,4,0.71,female
1.9,199,60,3,0.04,male
0.8,108,47,2.5,0.03,female
7,454,77,4.2,0.38,male
2.3,235,55,3.3,0.05,male
6,384,75,4.8,0.37,male
11.8,346,78,4.4,0.77,male
5.3,467,75,4.3,0.18,male
5.8,254,67,3.4,0.29,female
3.3,251,68,3.7,0.09,male
12.5,261,67,3.7,0.81,female
6.2,262,70,3,0.42,female
6.7,373,82,3.9,0.25,male
6.9,372,78,5.1,0.36,male
3.2,235,63,3.7,0.02,male
2.1,209,63,3.1,0.01,female
13.3,264,69,3.6,0.83,female
7.1,283,68,3.3,0.29,female
5.6,347,74,4.7,0.18,male
5.9,282,72,3.6,0.49,female
4.1,270,68,3.6,0.1,female
6.5,410,79,4.5,0.34,male
5.4,267,68,3.5,0.32,female
2,161,58,3,0.02,male
7.9,317,73,4.1,0.41,male
3.4,321,69,3.5,0.09,male
10.8,325,73,3.3,0.66,male
1.6,135,56,2.6,0.08,female
3.6,258,68,3.7,0.1,female
2.3,237,60,3.4,0.08,male
7.2,355,76,4.4,0.38,male
10.3,266,69,4,0.64,female
1.5,129,50,3,0.04,female
4.6,249,67,3.8,0.04,female
3.7,248,66,3.3,0.26,female
5.4,267,68,3.5,0.32,female
6.1,271,69,3.8,0.26,female
3.2,316,71,4.1,0.05,male
4.5,247,68,3.5,0.12,female
10.8,325,73,3.3,0.66,male
14.5,428,77,4.4,0.91,male
1.6,135,56,2.6,0.08,female
6.9,363,77,4.3,0.49,male
9.2,449,79,4.4,0.58,male
6.9,372,78,5.1,0.36,male
2,161,58,3,0.02,male
1.8,148,56,2.9,0.04,female
8,262,74,3.3,0.55,male
5.9,282,72,3.6,0.49,female
6.5,260,70,3.8,0.43,female
9,371,75,4.4,0.61,male
7.2,355,76,4.4,0.38,male
2.3,117,59,3.3,0.11,female
17.5,293,71,3.7,1,female
7.1,349,80,4.9,0.41,male
3.6,258,68,3.7,0.1,female
5.8,254,67,3.4,0.29,female
2.8,292,71,3.5,0.04,male
13,315,71,4,0.75,male
0.5,104,48,2.4,0.02,female
3.4,321,69,3.5,0.09,male
11,268,71,3.6,0.8,female
0.8,93,51,2.5,0,female
7.6,396,77,3.5,0.54,male
4.1,270,68,3.6,0.1,female
8.3,352,76,5.1,0.44,male
13.3,264,69,3.6,0.83,female
10.8,276,71,3.4,0.68,female
1.3,116,52,2.6,0.04,male
1.8,53,58,2.9,0.05,female
4.1,275,72,3.6,0.12,female
10.5,367,77,3.9,0.63,male
10.9,424,76,4.5,0.72,male
4,425,82,5,0.18,male
8.6,262,71,3.4,0.44,female
10.5,318,75,4.4,0.74,male
7,454,77,4.2,0.38,male
4.2,266,69,3,0.06,female
10.1,334,74,4.5,0.58,male
5.4,267,68,3.5,0.32,female
5.2,420,80,3.8,0.25,male
7.2,355,76,4.4,0.38,male
3.7,264,68,3.6,0.21,female
3.4,321,69,3.5,0.09,male
6,376,78,4.9,0.22,male
3.2,316,71,4.1,0.05,male
2.5,237,63,3.3,0.1,male
4,425,82,5,0.18,male
2,161,58,3,0.02,male
2.8,192,60,3.4,0.13,female
6.9,389,78,4.2,0.46,male
1.8,148,56,2.9,0.04,female
6.7,373,82,3.9,0.25,male
16.1,279,69,3.7,0.95,female
6.5,260,70,3.8,0.43,female
10.8,276,71,3.4,0.68,female
1.9,199,60,3,0.04,male
5.6,347,74,4.7,0.18,male
1.8,53,58,2.9,0.05,female
1.3,116,52,2.6,0.04,male
10.1,363,75,4.2,0.68,male
11.3,246,66,3.8,0.76,female
8.3,352,76,5.1,0.44,male
2.8,192,60,3.4,0.13,female
10.9,424,76,4.5,0.72,male
6.7,373,82,3.9,0.25,male
8,262,74,3.3,0.55,male
4.2,311,69,4.2,0.04,male
14.3,263,67,3.6,0.9,female
16.5,416,80,4.2,0.97,male
3.7,345,75,3.8,0.1,male
9,371,75,4.4,0.61,male
13,315,71,4,0.75,male
16.1,279,69,3.7,0.95,female
3.7,248,66,3.3,0.26,female
10.9,264,70,3.6,0.61,female
3.2,263,69,3.6,0.17,female
2.2,239,58,3.3,0.1,male
7.6,396,77,3.5,0.54,male
11.2,263,68,3.2,0.7,female
0.6,56,46,2.7,0.02,female
14.3,258,69,3.4,0.83,female
4.7,272,70,3.6,0.2,female
9.2,449,79,4.4,0.58,male
7.2,355,76,4.4,0.38,male
2.3,235,55,3.3,0.05,male
9.7,347,75,3.6,0.65,male
1.5,129,50,3,0.04,female
6.5,260,70,3.8,0.43,female
6.9,363,77,4.3,0.49,male
7.7,275,72,3.9,0.32,female
7.3,256,67,3.4,0.27,female
0.5,104,48,2.4,0.02,female
14.3,258,69,3.4,0.83,female
3.3,351,77,4.3,0.19,male
8.7,388,75,4.4,0.54,male
7.6,260,69,3.7,0.25,female
10.1,334,74,4.5,0.58,male
6.9,389,78,4.2,0.46,male
19.8,261,70,3.4,1,female
15.3,346,84,4.2,0.85,male
6.7,373,82,3.9,0.25,male
2.8,192,60,3.4,0.13,female
4.5,247,68,3.5,0.12,female
4,425,82,5,0.18,male
3.6,258,68,3.7,0.1,female
11.3,246,66,3.8,0.76,female
4.1,275,72,3.6,0.12,female
7.6,396,77,3.5,0.54,male
6,384,75,4.8,0.37,male
7.1,283,68,3.3,0.29,female
8.6,262,71,3.4,0.44,female
17.5,293,71,3.7,1,female
5.2,420,80,3.8,0.25,male
5.3,269,70,3.5,0.38,female
9,371,75,4.4,0.61,male
1.6,118,53,3.1,0.04,male
3.5,265,69,3.3,0.08,female
7.3,256,67,3.4,0.27,female
2.3,117,59,3.3,0.11,female
4.7,272,70,3.6,0.2,female
1.3,116,52,2.6,0.04,male
11.8,346,78,4.4,0.77,male
