Gender,Age,Class,UsuallyDrink,UsuallyBottle,FavBotWatBrand,Preference,First,Second,Third,Fourth
F,18,F,Filtered,0,DEER PARK,CABD,Fiji,SamsChoice,Aquafina,Tap
F,18,F,Tap,0,NONE,CABD,Fiji,SamsChoice,Aquafina,Tap
F,18,F,Tap,0,DEER PARK,CADB,Fiji,SamsChoice,Tap,Aquafina
F,18,F,Tap,0,AQUAFINA,CBDA,Fiji,Aquafina,Tap,SamsChoice
M,19,J,Filtered,0,NONE,CBAD,Fiji,Aquafina,SamsChoice,Tap
M,19,J,Filtered,0,SAM'S,CABD,Fiji,SamsChoice,Aquafina,Tap
F,19,SO,Tap,0,NONE,CABD,Fiji,SamsChoice,Aquafina,Tap
F,40,O,Bottled,1,SAM'S,BDCA,Aquafina,Tap,Fiji,SamsChoice
M,23,SR,Tap,0,NONE,BCDA,Aquafina,Fiji,Tap,SamsChoice
F,35,O,Tap,0,FIJI,CABD,Fiji,SamsChoice,Aquafina,Tap
M,9,O,Tap,0,NONE,DACB,Tap,SamsChoice,Fiji,Aquafina
M,18,F,Tap,0,NONE,ACBD,SamsChoice,Fiji,Aquafina,Tap
F,19,SO,Bottled,1,NONE,BDAC,Aquafina,Tap,SamsChoice,Fiji
F,19,SO,Bottled,1,NONE,ABCD,SamsChoice,Aquafina,Fiji,Tap
F,19,SO,Tap,0,AQUAFINA,DBCA,Tap,Aquafina,Fiji,SamsChoice
F,22,O,Bottled,1,KIRKLAND,CABD,Fiji,SamsChoice,Aquafina,Tap
F,21,SR,Tap,0,AQUAFINA,CABD,Fiji,SamsChoice,Aquafina,Tap
F,19,SO,Bottled,1,DEER PARK,CABD,Fiji,SamsChoice,Aquafina,Tap
F,19,SO,Bottled,1,DEER PARK,ABCD,SamsChoice,Aquafina,Fiji,Tap
F,18,F,Bottled,1,NONE,CBAD,Fiji,Aquafina,SamsChoice,Tap
F,21,SR,Bottled,1,AQUAFINA,BACD,Aquafina,SamsChoice,Fiji,Tap
F,19,SO,Bottled,1,DEER PARK,ACBD,SamsChoice,Fiji,Aquafina,Tap
F,19,SO,Bottled,1,AQUAFINA,BCAD,Aquafina,Fiji,SamsChoice,Tap
F,19,SO,Bottled,1,DEER PARK,CADB,Fiji,SamsChoice,Tap,Aquafina
F,18,F,Tap,0,AQUAFINA,BCAD,Aquafina,Fiji,SamsChoice,Tap
M,2,O,Filtered,0,AQUAFINA,CABD,Fiji,SamsChoice,Aquafina,Tap
F,18,F,Filtered,0,AQUAFINA,ACBD,SamsChoice,Fiji,Aquafina,Tap
F,18,F,Bottled,1,AQUAFINA,ABDC,SamsChoice,Aquafina,Tap,Fiji
F,18,F,Bottled,1,AQUAFINA,CADB,Fiji,SamsChoice,Tap,Aquafina
M,22,SR,Filtered,0,FIJI,BCAD,Aquafina,Fiji,SamsChoice,Tap
F,21,SR,Bottled,1,AQUAFINA,CABD,Fiji,SamsChoice,Aquafina,Tap
M,40,O,Filtered,0,AQUAFINA,ADCB,SamsChoice,Tap,Fiji,Aquafina
M,19,J,Filtered,0,SAM'S,BACD,Aquafina,SamsChoice,Fiji,Tap
